date,return,etf,regime,score,cum_ret
2017-08-31,-0.00018102231027461446,SHV,1.0,1.0,-0.00018102231027461446
2017-09-01,-0.00014496352021597936,SHV,0.0,-2.0,-0.00032595958885928145
2017-09-05,0.00036276001748003495,SHV,1.0,1.0,3.6682183514491484e-05
2017-09-06,-0.00036262847036983015,SHV,0.0,-2.0,-0.00032595958885939247
2017-09-07,0.00045330068521631794,SHV,1.0,1.0,0.00012719333865196525
2017-09-08,-9.049964418539336e-05,SHV,0.0,-2.0,3.668218351471353e-05
2017-09-11,0.00018101567022466014,SHV,1.0,1.0,0.000217704493789439
2017-09-12,-0.0002719008084016705,SHV,2.0,2.0,-5.4255508640133066e-05
2017-09-13,0.0,SHV,2.0,2.0,-5.4255508640133066e-05
2017-09-14,9.094262629338878e-05,SHV,2.0,2.0,3.668218351471353e-05
2017-09-15,9.050783511233007e-05,SHV,2.0,2.0,0.00012719333865196525
2017-09-18,-0.00027184011877379177,SHV,2.0,2.0,-0.00014468135637413226
2017-09-19,0.0,SHV,2.0,2.0,-0.00014468135637413226
2017-09-20,0.00027191403591753094,SHV,2.0,2.0,0.00012719333865196525
2017-09-21,0.0,SHV,2.0,2.0,0.00012719333865196525
2017-09-22,9.049964418550438e-05,SHV,2.0,2.0,0.000217704493789439
2017-09-25,-9.049145474093745e-05,SHV,2.0,2.0,0.0001271933386521873
2017-09-26,0.0002717548222193056,SHV,1.0,0.9965369988945465,0.0003989827262746992
2017-09-27,-9.090142405698831e-05,SHV,2.0,2.0,0.0003080450341197416
2017-09-28,9.090968787694997e-05,SHV,0.0,-2.0,0.0003989827262746992
2017-09-29,0.0001814617545901065,SHV,1.0,1.0,0.0005805168809702721
2017-10-02,3.6149353783487825e-05,SHV,2.0,2.0,0.0006166872200639162
2017-10-03,0.0,SHV,2.0,2.0,0.0006166872200639162
2017-10-04,-9.062588212105371e-05,SHV,0.0,-1.9999999999999916,0.0005260054501194933
2017-10-05,-9.088988358074701e-05,SHV,1.0,1.0,0.0004350677579645357
2017-10-06,0.0,SHV,2.0,2.0,0.0004350677579645357
2017-10-09,0.00018154047968987896,SHV,1.0,1.0,0.0006166872200639162
2017-10-10,-0.00018150752872592157,SHV,2.0,2.0,0.0004350677579647577
2017-10-11,0.0002719270031614762,SHV,2.0,2.0,0.0007071130677978044
2017-10-12,9.061769298956968e-05,SHV,2.0,2.0,0.0007977948377422273
2017-10-13,0.0,SHV,0.0,-2.0,0.0007977948377422273
2017-10-16,0.0,SHV,2.0,2.0,0.0007977948377422273
2017-10-17,0.0,SHV,2.0,2.0,0.0007977948377422273
2017-10-18,0.00018155992193436,SHV,2.0,2.0,0.0009794996072449713
2017-10-19,9.05930341030814e-05,SHV,2.0,2.0,0.0010701813771893942
2017-10-20,-9.058482774859655e-05,SHV,2.0,2.0,0.0009794996072451934
2017-10-23,-9.101915373666003e-05,SHV,2.0,2.0,0.0008883913002832866
2017-10-24,0.0,SHV,2.0,2.0,0.0008883913002832866
2017-10-25,-9.051604887044817e-05,SHV,2.0,2.0,0.0007977948377424493
2017-10-26,9.05242427673425e-05,SHV,0.0,-2.0,0.0008883913002832866
2017-10-27,-9.051604887044817e-05,SHV,2.0,2.0,0.0007977948377424493
2017-10-30,0.00018155992193436,SHV,2.0,2.0,0.0009794996072451934
2017-10-31,0.0,SHV,0.0,-2.0,0.0009794996072451934
2017-11-01,8.522392680454516e-08,SHV,0.0,-2.0,0.000979584914648779
2017-11-02,9.033735462393722e-05,SHV,0.0,-2.0,0.001070010762382445
2017-11-03,0.0,SHV,2.0,2.0,0.001070010762382445
2017-11-06,0.0,SHV,2.0,2.0,0.001070010762382445
2017-11-07,-9.0329194523453e-05,SHV,0.0,-2.0,0.000979584914648779
2017-11-08,0.0,SHV,2.0,2.0,0.000979584914648779
2017-11-09,9.033735462393722e-05,SHV,2.0,2.0,0.001070010762382445
2017-11-10,0.0,SHV,2.0,2.0,0.001070010762382445
2017-11-13,9.075527562973917e-05,SHV,2.0,2.0,0.001160863147133817
2017-11-14,0.0,SHV,1.0,1.0,0.001160863147133817
2017-11-15,9.049141439265718e-05,SHV,1.0,1.0,0.0012514596096746544
2017-11-16,-0.0001812220552097621,SHV,1.0,1.0,0.001070010762382445
2017-11-17,9.075527562973917e-05,SHV,1.0,1.0,0.001160863147133817
2017-11-20,0.0,SHV,1.0,1.0,0.001160863147133817
2017-11-21,0.006542660187103921,SPY,2.0,1.9999987022902146,0.007711118467333078
2017-11-22,-0.0008845476930583462,SPY,2.0,1.9999999950716705,0.006819749922223561
2017-11-24,0.002309587801297752,SPY,2.0,1.9999999999614724,0.00914508853474949
2017-11-27,-0.0004993356914522185,SPY,2.0,2.0,0.008641186374190424
2017-11-28,0.010145040397027127,SPY,2.0,2.0,0.01887389195606204
2017-11-29,-0.0006087803439781547,SPY,2.0,2.0,0.01825362155764676
2017-11-30,0.008755221710402772,SPY,0.0,-1.9999156213337543,0.02716865777180444
2017-12-01,-0.00207578324982971,SPY,2.0,2.0,0.02503647827725164
2017-12-04,-0.0012097135252099322,SPY,2.0,2.0,0.023796477785646086
2017-12-05,-0.0035968577169136484,SPY,2.0,2.0,0.020114027523973732
