date,hmm_state,risk_aversion,leverage_etf
2018-04-30,2,0.5,SSO
2018-07-31,2,0.5,SSO
2018-10-31,2,0.5,SSO
2019-01-31,2,0.5,SSO
2019-04-30,2,0.5,SSO
2019-07-31,2,0.5,SSO
2019-10-31,2,0.5,SSO
2020-01-31,2,0.5,SSO
2020-04-30,2,0.5,SSO
2020-07-31,2,0.5,SSO
2020-10-31,2,0.5,SSO
2021-01-31,2,0.5,SSO
2021-04-30,2,0.5,SSO
2021-07-31,2,0.5,SSO
2021-10-31,2,0.5,SSO
2022-01-31,2,0.5,SSO
2022-04-30,2,0.5,SSO
2022-07-31,2,0.5,SSO
2022-10-31,2,0.5,SSO
2023-01-31,2,0.5,SSO
2023-04-30,2,0.5,SSO
2023-07-31,2,0.5,SSO
2023-10-31,2,0.5,SSO
2024-01-31,2,0.5,SSO
2024-04-30,2,0.5,SSO
2024-07-31,2,0.5,SSO
2024-10-31,2,0.5,SSO
2025-01-31,2,0.5,SSO
2025-04-30,2,0.5,SSO
2025-07-31,2,0.5,SSO
2025-10-31,2,0.5,SSO
2026-01-31,2,0.5,SSO
2026-04-30,2,0.5,SSO
