date,regime,leverage,score
2017-08-31,QLD,QLD,0.17056076216405758
2017-11-30,QLD,QLD,1.2141817536399604
2018-02-28,QLD,QLD,0.9898824147658407
2018-05-31,QLD,QLD,0.7566767593839118
2018-08-31,QLD,QLD,0.7501701342459169
2018-11-30,QLD,QLD,0.6040857567856376
2019-02-28,QLD,QLD,0.549672108438297
2019-05-31,QLD,QLD,0.5682902256486454
2019-08-31,QLD,QLD,0.7040290043201491
2019-11-30,QLD,QLD,0.9353890739829507
2020-02-29,SSO,SSO,1.2470063999724625
2020-05-31,SSO,SSO,1.147291446043285
2020-08-31,SSO,SSO,1.0862838971784359
2020-11-30,SSO,SSO,1.0898629548988754
2021-02-28,QLD,QLD,0.98490789149664
2021-05-31,QLD,QLD,1.367137686107565
2021-08-31,SSO,SSO,1.2761955301339265
2021-11-30,SSO,SSO,1.2329159662763949
2022-02-28,SSO,SSO,1.1436730875720995
2022-05-31,QLD,QLD,0.9300416804463714
2022-08-31,QLD,QLD,0.4086787744638526
2022-11-30,QLD,QLD,0.3347001841879166
2023-02-28,QLD,QLD,0.456159070313873
2023-05-31,QLD,QLD,0.5978407476377275
2023-08-31,QLD,QLD,0.7717389567177464
2023-11-30,QLD,QLD,0.268182337412345
2024-02-29,QLD,QLD,0.26359961835961293
2024-05-31,QLD,QLD,0.4826339535130671
2024-08-31,QLD,QLD,0.7157665574933589
2024-11-30,QLD,QLD,0.7649900311147148
2025-02-28,QLD,QLD,0.7763801509356518
2025-05-31,QLD,QLD,0.3077422922320916
2025-08-31,QLD,QLD,0.04699664107635415
2025-11-30,QLD,QLD,0.6303036798881787
2026-02-28,QLD,QLD,0.6201426675455654
